loss,attribute_psnr,geometry_psnr,occupancy_psnr,frame_drop
1,60.0,60.0,60.0,0
2,32.791875,60.0,60.0,0
3,59.2996875,43.955652173913045,60.0,0
4,34.649531249999995,41.59193548387096,60.0,0
5,59.2996875,60.0,60.0,0
6,46.06171875,45.32387096774194,60.0,0
7,29.61078125,60.0,60.0,0
8,21.04390625,60.0,60.0,0
9,33.047343749999996,60.0,60.0,0
10,26.1165625,52.79434782608696,60.0,0
