loss,attribute_ssim,geometry_ssim,occupancy_ssim,frame_drop
1,1.0,1.0,1.0,0
2,0.9710470983606558,0.9813590937500001,1.0,3
3,0.9343468474576272,0.938164296875,1.0,5
4,0.9183063035714285,1.0,1.0,8
5,0.8293064761904761,0.9958137118644069,1.0,22
6,0.8724445102040816,0.9666490781249999,1.0,15
7,0.849008487179487,1.0,1.0,25
8,0.844641523809524,1.0,1.0,22
9,0.8453917368421053,0.9859444666666666,1.0,26
10,0.8663225,1.0,1.0,30
