Chunk_num,index 0,index 1,index 2,index 3,index 4,index 5,index 6,index 7,index 8,index 9,index 10,index 11,index 12,index 13,index 14,index 15,index 16,index 17,index 18,index 19,index 20,index 21,index 22,index 23,index 24,index 25,index 26,index 27,index 28,index 29,total time (ms),Received Size (MB),throughput (Mbit/s),QoE
1,7.316000000002987,18.532999999997912,25.106999999998436,25.02499999999941,25.109000000000492,25.0780000000006,25.021000000002402,27.070000000001926,25.02699999999436,24.93700000000132,25.04000000000417,26.17000000000047,24.989999999995405,25.63400000000371,25.137000000000853,24.96699999999663,25.798000000001764,24.990999999999985,25.559999999998695,25.021000000002402,25.590999999998587,24.944999999995332,25.685000000002844,25.061000000000888,24.9290000000002,25.936000000001513,24.92300000000114,25.618999999998948,26.47400000000033,-1,0,0.0,984.952736339404,140
2,36.62800000000033,41.83600000000354,41.968999999994594,41.71000000000191,41.97800000000029,42.2670000000025,41.72399999999499,41.70700000000238,41.76700000000011,41.48200000000202,42.20399999999813,41.612999999998124,41.555999999999926,41.53300000000115,42.15599999999853,41.47999999999996,41.529000000004146,41.73699999999769,41.48299999999949,42.26799999999997,41.437000000001944,41.502999999998735,41.5660000000031,41.69899999999416,41.537000000005264,41.606000000001586,41.61999999999466,41.44600000000054,41.62099999999924,-1,246.202068965516,0.0,581.0758536419349,138.76898965517242
3,26.36799999999795,27.82499999999999,27.856999999997356,28.114999999999668,27.782999999999447,28.188000000000102,27.894000000003416,27.886999999999773,27.726999999998725,27.746000000000492,28.06799999999754,27.69100000000435,27.670000000000528,28.00699999999523,27.48199999999912,27.777000000000385,27.930000000004895,27.846999999994182,27.833000000001107,27.664000000001465,27.622000000000924,28.179999999998984,27.633999999999048,27.779999999999916,27.675000000002115,27.74199999999638,27.72700000000583,27.6929999999993,27.71699999999555,-1,0,0.0,869.4258932419593,140
4,24.62399999999576,25.604000000001292,25.4460000000023,25.88000000000079,25.425999999995952,62.057000000002915,25.40599999999671,25.339000000002443,25.744000000003098,25.310999999994976,25.760000000005334,25.406999999994184,25.415000000002408,25.438000000001182,25.26799999999696,25.587999999999056,25.699000000003025,25.236999999997067,25.483000000001255,25.469000000001074,25.716000000002737,25.52199999999516,25.446000000000005,25.374999999999996,25.440000000000005,25.306999999999995,25.43899999999999,25.45,25.341,-1,0,0.0,903.6490640132138,140
5,23.42000000000022,23.50399999999997,23.565999999999754,23.716000000000292,23.804999999999854,23.64999999999995,23.541000000000256,23.474999999999913,23.498999999999715,23.821000000000314,23.476999999999748,23.46400000000015,23.658999999999875,23.381000000000096,23.73100000000017,23.471999999999937,23.34499999999995,23.429000000000144,23.438999999999766,23.900000000000254,23.42500000000003,23.432999999999815,23.42999999999984,23.400000000000087,23.51100000000006,23.43099999999998,23.42999999999984,23.449000000000275,23.552999999999713,23.38600000000035,0,0.0,991.8638822685907,140
6,38.50500000000068,37.26399999999952,37.6120000000002,37.14800000000018,37.193999999999505,37.32000000000024,37.219000000000335,37.18600000000016,37.90399999999927,36.299000000000525,37.32999999999986,37.01699999999963,37.088000000000676,37.1049999999995,37.09399999999974,37.095000000000766,37.10599999999964,37.188999999999695,36.96300000000008,37.17900000000007,37.12099999999996,36.95499999999985,37.32500000000005,36.8580000000005,37.16299999999961,36.99100000000044,37.031999999999954,37.183999999999884,36.99799999999964,-1,115.63172413793122,0.0,649.0833089154373,139.42184137931037
7,36.302000000000945,34.65499999999899,34.49400000000047,34.21799999999919,34.48900000000066,34.437000000000495,34.02399999999872,34.38000000000052,35.975999999999786,34.01400000000088,34.30099999999925,34.451000000000676,35.23899999999891,33.333999999999975,34.128000000000824,34.15999999999997,34.283000000000285,34.26099999999899,34.29799999999972,34.08800000000056,34.39200000000042,34.46399999999983,33.97099999999931,34.098000000000184,34.30200000000028,34.262000000000015,34.18399999999977,34.247999999999834,34.49800000000103,-1,32.363103448276085,0.0,701.4372449148303,139.8381844827586
8,41.555000000000675,40.79999999999906,40.90700000000069,40.66399999999959,40.463000000000804,40.79699999999953,40.52100000000003,40.564999999999074,40.40600000000083,42.26799999999997,39.11800000000021,40.260999999999214,40.5540000000002,40.38500000000056,40.47699999999921,40.461000000000524,40.46999999999912,40.65100000000044,40.27600000000042,40.36499999999954,40.57700000000075,40.38699999999906,40.41300000000092,40.50400000000032,40.52299999999853,40.358000000001226,40.96999999999973,40.11200000000059,40.52899999999937,-1,216.90034482758637,0.0,595.0675699225646,138.91549827586206
9,37.822999999999496,36.70200000000179,48.452999999998525,36.43600000000191,36.57099999999858,56.02000000000018,36.321000000000936,36.32299999999944,36.633000000001914,36.40399999999744,36.18499999999969,36.55600000000092,36.32299999999944,36.4190000000022,36.323999999996914,36.332000000001585,36.38199999999969,36.37600000000063,36.11799999999832,36.300000000000665,36.470000000001335,36.2019999999994,36.34100000000018,36.487000000001046,36.17399999999904,36.390999999998286,36.27100000000283,36.37599999999708,36.37400000000213,-1,125.6072413793119,0.0,643.3309101202376,139.37196379310345
10,23.616000000000525,23.545999999999623,23.53300000000047,23.79699999999829,23.49699999999899,23.906000000000205,23.518000000002814,23.452999999999946,23.52899999999991,23.55399999999719,23.42700000000164,23.733000000000004,23.58600000000166,23.50799999999964,23.49099999999993,23.251999999999384,23.82300000000015,23.4439999999978,23.56200000000186,23.36400000000083,23.40199999999726,23.510000000001696,48.365000000000435,23.51499999999973,23.433000000000703,23.32799999999935,23.513999999998703,23.460000000000036,23.431999999999675,23.455999999999477,0,0.0,958.1769451676423,140
11,44.94199999999893,44.97299999999882,45.08900000000082,44.47100000000148,44.6409999999986,45.03599999999963,44.45400000000177,44.63999999999757,44.47500000000204,44.465999999999894,44.899999999998386,44.49500000000128,44.37599999999975,44.82600000000048,44.281999999999044,44.42700000000244,44.563999999997606,44.42200000000085,44.55499999999901,44.56400000000116,44.40299999999908,44.653000000000276,44.43000000000197,44.45399999999822,44.501000000000346,44.55199999999948,44.475999999999516,44.46100000000186,44.55199999999948,-1,337.6689655172409,0.0,541.3431496891146,138.3116551724138
12,44.96999999999929,44.87400000000008,45.01899999999992,44.59900000000161,44.602999999998616,44.82799999999898,44.56300000000013,44.509000000001464,44.80599999999768,44.49600000000231,44.6169999999988,44.61600000000132,44.55199999999948,44.482999999999606,44.54899999999995,44.544000000001915,44.46699999999737,44.44000000000159,44.53399999999874,44.42200000000085,44.51800000000006,44.5619999999991,44.46700000000092,44.56599999999966,44.55499999999901,44.28800000000166,44.59199999999797,44.92400000000174,44.05900000000074,-1,337.60896551724187,0.0,541.3674322633333,138.31195517241378
13,17.57999999999882,26.7360000000032,26.52299999999741,26.573000000002622,27.124000000000592,26.607999999995968,26.873000000001923,26.491999999997518,26.89900000000023,26.57700000000318,26.792999999997846,26.6200000000012,27.619000000001392,26.758999999998423,26.56000000000347,26.54799999999824,26.61399999999503,26.62600000000026,26.664000000003796,26.488999999997986,26.523000000004515,26.78799999999626,26.598999999997375,26.48800000000051,26.661000000004265,27.322999999995545,26.578000000000657,26.591000000003362,26.662999999999215,26.435999999996795,0,0.0,883.9198562493792,140
14,23.900999999995065,23.96399999999943,24.15300000000542,24.41699999999969,24.097999999995068,30.698000000001002,24.045999999998457,24.098000000002173,24.16600000000102,24.222000000001742,23.96399999999943,29.317999999996402,24.129000000002065,24.0750000000034,24.06299999999817,24.081999999999937,23.92199999999889,24.529000000001133,24.0659999999977,24.16900000000055,24.04899999999799,24.129000000002065,24.202999999999975,24.09200000000311,24.10699999999366,24.090000000001055,24.079000000000406,24.058000000003688,24.007999999994922,24.120000000003472,0,0.0,952.3615164316416,140
15,36.825999999997805,34.50300000000084,34.530000000003724,34.50299999999373,34.20200000000051,34.505000000002894,34.345000000001846,34.35100000000091,34.252999999999645,34.20699999999499,34.389000000004444,34.250000000000114,34.279999999995425,34.31600000000401,34.15499999999838,34.28800000000365,34.15099999999427,34.19699999999892,34.27400000000347,34.202999999997985,34.265000000004875,34.110999999995784,34.42199999999929,34.06700000000029,34.255999999999176,34.28000000000253,34.29299999999813,34.18800000000033,34.19200000000444,-1,31.174482758623114,0.0,702.2457820108692,139.84412758620687
