AQP,BR,PSNR
15,59587,43.696
16,59587,43.885
17,59587,43.154
18,59587,42.723
19,59587,41.893
20,59587,41.147
21,59587,40.34
22,59587,39.225
23,59587,37.535
24,59587,35.457
25,59587,36.562
26,59587,33.892
27,59587,32.872
28,59587,30.899
29,59587,30.167
30,59587,27.808
31,59587,26.42
32,59587,24.688
33,59587,23.753
34,59587,22.11
35,59587,20.292
