index,Dr,AQP,PSNR,BR
21,0.33,15,43.696,31176.96
22,0.33,16,43.885,28968.0
23,0.33,17,43.154,26567.64
24,0.33,18,42.723,24409.68
25,0.33,19,41.893,22195.68
26,0.33,20,41.147,20082.84
27,0.33,21,40.34,18108.72
28,0.33,22,39.225,16231.8
29,0.33,23,37.535,14428.44
30,0.33,24,35.457,12785.76
31,0.33,25,36.562,11491.68
32,0.33,26,33.892,9916.68
33,0.33,27,32.872,8676.24
34,0.33,28,30.899,7537.92
35,0.33,29,30.167,6533.52
36,0.33,30,27.808,5765.28
37,0.33,31,26.42,4966.32
38,0.33,32,24.688,4212.96
39,0.33,33,23.753,3622.56
40,0.33,34,22.11,3117.6
41,0.33,35,20.292,2746.2
