index,Dr,AQP,PSNR,BR
42,1.0,15,55.641,31176.96
43,1.0,16,55.219,28968.0
44,1.0,17,54.334,26567.64
45,1.0,18,53.693,24409.68
46,1.0,19,52.991,22195.68
47,1.0,20,52.121,20082.84
48,1.0,21,50.831,18108.72
49,1.0,22,50.225,16231.8
50,1.0,23,48.131,14428.44
51,1.0,24,46.815,12785.76
52,1.0,25,46.034,11491.68
53,1.0,26,44.757,9916.68
54,1.0,27,43.096,8676.24
55,1.0,28,41.168,7537.92
56,1.0,29,39.844,6533.52
57,1.0,30,37.753,5765.28
58,1.0,31,34.989,4966.32
59,1.0,32,33.127,4212.96
60,1.0,33,30.989,3622.56
61,1.0,34,28.451,3117.6
62,1.0,35,24.98,2746.2
