QP,Br,PSNR
15,14732.8800,71.7784
16,13057.3200,71.7745
17,11625.7200,71.5069
18,10293.0000,71.3467
19,9075.4800,71.0625
20,7969.4400,70.8006
21,7042.5600,70.5877
22,6155.7600,70.3434
23,5398.3200,70.0389
24,4772.1600,69.6803
25,4210.4400,69.3171
26,3673.0800,69.1306
27,3245.0400,68.694
28,2848.6800,68.2357
29,2505.3600,67.7704
30,2237.5200,67.5118
31,1958.6400,66.9258
32,1707.0000,66.3767
33,1488.4800,66.1003
34,1299.1200,65.3647
35,1131.2400,64.8117
