Chunk_num,index 0,index 1,index 2,index 3,index 4,index 5,index 6,index 7,index 8,index 9,index 10,index 11,index 12,index 13,index 14,index 15,index 16,index 17,index 18,index 19,index 20,index 21,index 22,index 23,index 24,index 25,index 26,index 27,index 28,index 29,stalling time,PSNR,Chunk Bitrate,QoE
1,17.081000000004565,26.5759999999986,26.708999999996763,26.464000000004262,27.156999999995435,26.56000000000347,26.845999999999037,32.98099999999948,20.37599999999884,26.53699999999759,26.863000000005854,26.795999999997377,27.192999999996914,26.924000000001058,26.74999999999983,26.730000000000587,26.479999999999393,26.681000000003507,26.437000000001376,26.686999999995464,26.733000000000118,26.5850000000043,26.6109999999955,26.63400000000138,26.538999999999646,27.211000000001206,26.78900000000084,26.53800000000217,26.537999999995066,26.61300000000466,0,45.46,12,140.92000000000002
2,65.18700000000166,13.247999999997262,26.453000000003613,26.39899999999784,26.634999999998854,26.600000000001955,26.503999999995642,26.80300000000102,26.3220000000004,26.821000000005313,26.42299999999409,26.77300000000571,26.51499999999629,26.639000000002966,26.80199999999644,27.19300000000402,26.609999999998024,26.629999999997267,26.338000000002637,26.749000000002354,26.400999999999897,26.64000000000044,26.391999999994198,26.61000000000513,26.58699999999925,26.7029999999977,26.28299999999939,27.31899999999854,26.65900000000221,26.550000000000296,0,45.46,12,140.92000000000002
3,17.929000000002304,28.306999999998084,28.428000000005227,28.83399999999625,28.340000000000032,28.542999999999097,28.350000000003206,28.629000000002236,28.29999999999444,28.9590000000004,28.100000000002012,28.626000000002705,29.146999999994705,28.62500000000523,28.44999999999942,28.196999999998695,28.425999999996066,28.37300000000198,28.356999999999744,28.710000000003788,28.00500000000028,28.65099999999643,28.86500000000325,28.507999999995093,28.356999999999744,28.301000000006127,28.291999999993322,28.606000000003462,28.00799999999981,28.393999999998698,0,45.46,12,140.92000000000002
4,17.330000000001178,26.623999999998205,26.757000000003472,26.523999999994885,27.11800000000153,26.454999999998563,26.998000000006073,26.47699999999986,26.846999999996513,26.619000000003723,26.783999999999253,26.74999999999983,26.576999999996076,27.492000000002292,26.617000000001667,26.73899999999918,26.612999999997555,26.45700000000062,26.733999999997593,26.429000000000258,26.83600000000297,26.36299999999636,26.65200000000567,26.536000000000115,26.700999999995645,27.28700000000117,26.628000000002316,26.67799999999687,26.60900000000055,-1,0,45.46,12,140.92000000000002
5,18.900000000002137,28.444999999997833,28.502000000003136,28.126999999997793,29.021000000000186,28.241000000001293,28.651000000003535,28.320999999998264,28.743999999996106,28.4639999999996,28.480999999999312,29.224000000006356,28.468999999994082,28.631000000004292,28.218999999999994,28.17100000000039,28.613,28.391999999996642,28.345999999999094,28.430000000000177,28.49700000000155,28.102000000004068,28.57299999999441,28.482000000003893,29.22399999999925,27.91299999999808,28.618000000001587,28.264999999997542,28.33100000000144,28.23800000000176,0,45.46,12,140.92000000000002
6,26.785000000003834,47.17199999999622,47.32400000000325,48.07300000000225,47.27699999999402,47.634000000002175,47.217000000003395,47.74999999999352,47.13000000000278,47.74100000000203,47.48000000000019,47.48899999999878,47.21800000000087,49.078999999998985,47.1069999999969,47.56900000000286,47.23700000000264,47.367999999998744,47.04499999999712,47.91800000000279,47.01800000000134,47.030999999996936,47.54400000000203,47.278999999996074,48.60000000000042,47.3479999999995,47.322000000001196,47.088999999999714,47.245000000003756,-1,683.4208275862123,45.46,12,-200.79041379310615
7,26.194999999999997,47.436999999999976,49.705,47.14200000000002,47.66000000000004,47.299999999999955,47.63800000000001,47.31099999999999,47.65799999999998,47.20000000000002,47.873999999999974,47.27500000000007,47.66300000000001,48.67100000000002,47.46499999999998,47.42799999999991,47.010000000000105,47.93099999999995,46.942999999999955,47.34600000000011,47.31799999999997,47.233999999999995,47.48299999999994,47.144999999999996,47.34400000000005,48.5739999999999,47.16000000000009,47.412000000000006,47.17100000000008,-1,685.4120000000001,45.46,12,-201.78600000000006
8,26.600999999999875,47.40600000000006,47.105000000000175,47.96799999999956,47.270999999999844,47.747000000000206,48.02900000000054,46.91799999999979,47.13499999999993,47.78099999999963,47.33700000000063,47.77999999999949,47.03100000000049,48.92699999999994,47.33499999999946,47.53400000000063,46.97099999999921,47.66400000000015,47.08600000000018,47.63599999999979,46.92100000000021,47.44599999999988,47.19000000000051,47.4969999999999,48.27300000000001,47.58899999999944,47.08300000000065,47.37599999999986,47.33199999999993,-1,683.2718620689649,45.46,12,-200.71593103448242
9,17.379999999999285,25.08600000000083,25.080999999999243,25.04200000000001,25.68000000000037,24.75999999999967,25.447999999999915,24.990000000000734,25.106000000000073,24.89099999999933,25.40900000000068,24.944999999999773,25.882999999999434,24.95200000000075,25.232999999999173,25.06800000000009,24.91300000000063,25.0319999999995,25.180000000000646,25.004999999999278,25.20900000000026,25.139000000000244,24.690999999999796,25.08599999999994,25.779999999999248,24.9050000000004,25.100000000000122,25.000000000000355,25.05900000000061,24.88599999999863,0,45.46,12,140.92000000000002
10,17.33300000000071,26.43299999999904,26.531000000000304,26.564000000000476,27.08699999999986,26.636999999999134,26.863999999999777,26.564000000000476,26.89900000000023,26.41599999999933,26.873000000000147,26.708000000001064,27.447000000000443,26.73299999999834,26.74500000000002,26.659000000000432,26.400999999999897,26.721000000000217,26.711000000000595,26.538000000000395,26.624999999999233,26.661000000000712,26.496999999999105,26.697000000000415,27.105999999999852,26.726000000000028,26.507000000000502,26.59599999999962,26.643999999999224,-1,0,45.46,12,140.92000000000002
